No,データパターン,データタイプ,得意先正式名称,ふりがな,呼称,締日,締日From,締日To,納品書印刷,入金種別,得意先区分,請求日,売上計上日,報告書No,報告書枝From,報告書枝To,担当者,研究所,部門,摘要,品名,税区分,単位,数量,単価,税抜金額,消費税,税込額,メモ
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20121122,20121122,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　　,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20121221,20121221,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20130129,20130129,,,,木村みゆき,東京研究所,食品,商品試験,卵:ユキヒラエッグ　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20130222,20130222,,,,武田宰,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20130322,20130322,,,,武田宰,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　一般卵質,課税(5%),,,,16000,800,16800,
,,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,,,,その他,一般外部,20120825,20120825,,,,白井小帆里,大阪研究所,雑貨,商品試験,Ｊｏｙｃｏｏｋ　品質表示作成,課税(5%),,,,6000,300,6300,
,,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,,,,その他,一般外部,20120802,20120802,,,,白井小帆里,大阪研究所,雑貨,商品試験,Ｊｏｙｃｏｏｋ（①鍋、②グリル板）,課税(5%),,,,13000,650,13650,
,,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,,,,その他,一般外部,20121130,20121130,,,,白井小帆里,大阪研究所,雑貨,苦情原因究明試験,韓国ヘルシーオーブン鍋ジョイクック,課税(5%),,,,15000,750,15750,
,,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,,,,その他,一般外部,20121113,20121113,,,,白井小帆里,大阪研究所,雑貨,商品試験,Ｊｏｙｃｏｏｋ　　　・外観・ひずみ,課税(5%),,,,77000,3850,80850,
,,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,Ｊｏｙｃｏｏｋ　Ｊａｐａｎ　株式会社,,,,,その他,一般外部,20120727,20120727,,,,白井小帆里,大阪研究所,雑貨,商品試験,Ｊｏｙｃｏｏｋ　（鍋､グリル板、蓋、,課税(5%),,,,131000,6550,137550,
,,,KBセーレン株式会社,,KBセーレン株式会社,,,,,その他,一般外部,20120419,20120419,,,,木村美幸,大阪研究所,繊維,商品試験,編地　千趣会様向け　染色堅牢度試験,課税(5%),,,,7000,350,7350,
,,,KBセーレン株式会社,,KBセーレン株式会社,,,,,その他,一般外部,20120904,20120904,,,,木村美幸,大阪研究所,繊維,商品試験,編地　千趣会基準　・染色堅牢度試験,課税(5%),,,,7000,350,7350,
,,,KBセーレン株式会社,,KBセーレン株式会社,,,,,その他,一般外部,20121119,20121119,,,,木村美幸,大阪研究所,繊維,商品試験,編地　千趣会向け染色堅牢度・ピリング,課税(5%),,,,9500,475,9975,
,,,KBセーレン株式会社,,KBセーレン株式会社,,,,,その他,一般外部,20121221,20121221,,,,木村美幸,大阪研究所,繊維,商品試験,編地　千趣会基準染色堅牢度･ピリング,課税(5%),,,,9500,475,9975,
,,,KBセーレン株式会社,,KBセーレン株式会社,,,,,その他,一般外部,20130418,20130418,,,,木村美幸,大阪研究所,繊維,商品試験,編地　千趣会基準染色堅牢度・ピリング,課税(5%),,,,9500,475,9975,
,,,Ｋ－Ｈ＆Ｂ,,Ｋ－Ｈ＆Ｂ,,,,,その他,一般外部,20120403,20120403,,,,永田敬介,大阪研究所,雑貨,商品試験,ＴＥｎＳ　・材質確認(内容物について),課税(5%),,,,7000,350,7350,
,,,ＮＳファーファー・ジャパン株式会社,,ＮＳファーファー・ジャパン株式会社,,,,,その他,一般外部,20120627,20120627,,,,赤尾基文,大阪研究所,繊維,苦情原因究明試験,ズボン　汚染原因究明,課税(5%),,,,20000,1000,21000,
,,,ＴＲＵＣＫ,,ＴＲＵＣＫ,,,,,その他,一般外部,20120406,20120406,,,,是澤いずみ,大阪研究所,雑貨,商品試験,FA　SOFA　クッション　タカハタ３０００,課税(5%),,,,37000,1850,38850,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120330,20120330,,,,大西澄子,大阪研究所,食品,商品試験,食材他　　　　　　　　　　　細菌検査,課税(5%),,,,15000,750,15750,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120730,20120730,,,,大西澄子,大阪研究所,食品,商品試験,食材他　　　　　　　　　　　衛生検査,課税(5%),,,,15000,750,15750,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121122,20121122,,,,大西澄子,大阪研究所,食品,商品試験,食材他　　　　　　　細菌検査（定期）,課税(5%),,,,15000,750,15750,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験・相互計算,器具・食品など一式　　　　　衛生検査,課税(5%),,,,15000,750,15750,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120330,20120330,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120424,20120424,,,,大西澄子,大阪研究所,食品,商品試験,器具･食品　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120530,20120530,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120621,20120621,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120724,20120724,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120831,20120831,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20120921,20120921,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121022,20121022,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121127,20121127,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121224,20121224,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,器具・食品など一式　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121224,20121224,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,器具・食品など一式　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など一式　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　衛生検査（定期）,課税(5%),,,,20000,1000,21000,
,,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,その他,大丸グループ,20130218,20130218,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　衛生検査（定期）,課税(5%),,,,20000,1000,21000,
,,,ＶＣ工業株式会社,,ＶＣ工業株式会社,,,,,その他,一般外部,20130425,20130425,,,,白井小帆里,大阪研究所,雑貨,商品試験,紙袋　・耐荷重試験（静止荷重）,課税(5%),,,,13000,650,13650,
,,,Ｖｉａ　ＢＲＥＲＡ,,Ｖｉａ　ＢＲＥＲＡ,,,,,その他,一般外部,20121228,20121228,,,,田中亜紀,東京研究所,食品,商品試験,平成２５年大丸松坂屋　おせち　二段重,課税(5%),,,,24000,1200,25200,
,,,アールアンドダブリュ株式会社,,アールアンドダブリュ株式会社,,,,,その他,一般外部,20120302,20120302,,,,池田響,大阪研究所,食品,商品試験,適正包装検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130115,20130115,,,,池田響,大阪研究所,食品,商品試験,商品点検,課税(5%),,,,3000,150,3150,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130121,20130121,,,,池田響,大阪研究所,食品,商品試験,商品点検,課税(5%),,,,3000,150,3150,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130115,20130115,,,,池田響,大阪研究所,食品,商品試験,適正包装検査,課税(5%),,,,5000,250,5250,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130121,20130121,,,,池田響,大阪研究所,食品,商品試験,適正包装検査,課税(5%),,,,5000,250,5250,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130121,20130121,,,,池田響,大阪研究所,食品,商品試験,品質検査,課税(5%),,,,9000,450,9450,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130115,20130115,,,,池田響,大阪研究所,食品,商品試験,品質検査,課税(5%),,,,17000,850,17850,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20130329,20130329,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　細菌検査（定期）,課税(5%),,,,10000,500,10500,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20130422,20130422,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　細菌検査（定期）,課税(5%),,,,10000,500,10500,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20130527,20130527,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　細菌検査（定期）,課税(5%),,,,10000,500,10500,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20130626,20130626,,,,大西澄子,大阪研究所,食品,商品試験・受入収支,手指他　　　　　　　細菌検査（定期）,課税(5%),,,,10000,500,10500,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験・相互計算,器具・食品など一式　　　　　衛生検査,課税(5%),,,,15000,750,15750,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120330,20120330,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120424,20120424,,,,大西澄子,大阪研究所,食品,商品試験,器具･食品　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120530,20120530,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120621,20120621,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120724,20120724,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120831,20120831,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20120921,20120921,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20121022,20121022,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20121127,20121127,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など一式　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,大丸グループ,20121225,20121225,,,,大西澄子,大阪研究所,食品,商品試験,器具・食品など　　　　　　　衛生検査,課税(5%),,,,20000,1000,21000,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130405,20130405,,,,田中亜紀,東京研究所,食品,商品試験,細菌検査,課税(5%),,,,15000,750,15750,
,,,アイビー株式会社,,アイビー株式会社,,,,,その他,一般外部,20130405,20130405,,,,田中亜紀,東京研究所,食品,商品試験,細菌検査,課税(5%),,,,18000,900,18900,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120803,20120803,,,,中川聡,大阪研究所,雑貨,商品試験,８月大丸数店舗アイデア催事のちらし,課税(5%),,,,4500,225,4725,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20130312,20130312,,,,中川聡,大阪研究所,雑貨,媒体表示確認,大丸数店舗アイデア催事ちらし,課税(5%),,,,4800,240,5040,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20130205,20130205,,,,中川聡,大阪研究所,雑貨,媒体表示確認,大丸数店舗アイデア催事のちらし,課税(5%),,,,5000,250,5250,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120716,20120716,,,,中川聡,大阪研究所,雑貨,媒体表示確認,８月大丸数店舗アイデア催事のちらし,課税(5%),,,,5100,255,5355,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20121210,20121210,,,,中川聡,大阪研究所,雑貨,媒体表示確認,１２月大丸数店舗アイデア催事ちらし,課税(5%),,,,5700,285,5985,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20121106,20121106,,,,中川聡,大阪研究所,雑貨,媒体表示確認,１１月大丸数店舗アイデア催事のちらし,課税(5%),,,,6000,300,6300,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120301,20120301,,,,中川聡,大阪研究所,雑貨,媒体表示確認,３月大丸数店舗アイデア催事のチラシ,課税(5%),,,,6600,330,6930,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20121022,20121022,,,,中川聡,大阪研究所,雑貨,媒体表示確認,１０月大丸数店舗アイデア催事ちらし,課税(5%),,,,6600,330,6930,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120906,20120906,,,,中川聡,大阪研究所,雑貨,媒体表示確認,９月大丸数店舗アイデア催事ちらし,課税(5%),,,,7200,360,7560,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20130627,20130627,,,,中川聡,大阪研究所,雑貨,媒体表示確認,ちらし表現、現品表現、裏付けデータの,課税(5%),,,,8100,405,8505,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120629,20120629,,,,中川聡,大阪研究所,雑貨,媒体表示確認,６月大丸数店舗のアイデア催事のチラシ,課税(5%),,,,8700,435,9135,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20120430,20120430,,,,中川聡,大阪研究所,雑貨,媒体表示確認,５月大丸数店舗アイデア催事ちらし,課税(5%),,,,9300,465,9765,
,,,アイメディア株式会社,,アイメディア株式会社,,,,,その他,一般外部,20130514,20130514,,,,中川聡,大阪研究所,雑貨,媒体表示確認,大丸数店舗アイデア催事のちらし,課税(5%),,,,10800,540,11340,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20121212,20121212,,,,池田響,大阪研究所,食品,商品試験,冬の特選ジャムセットＢ　商品点検,課税(5%),,,,3000,150,3150,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20130513,20130513,,,,池田響,大阪研究所,食品,商品試験,商品点検,課税(5%),,,,3000,150,3150,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20120425,20120425,,,,岡部珠美,大阪研究所,食品,商品試験,果物のシロップ漬け　　　異物検査,課税(5%),,,,5000,250,5250,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20121212,20121212,,,,池田響,大阪研究所,食品,商品試験,　　　　　〃　　　　　適正包装検査,課税(5%),,,,5000,250,5250,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20130305,20130305,,,,池田響,大阪研究所,食品,商品試験,商品点検,課税(5%),,,,6000,300,6300,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20121212,20121212,,,,池田響,大阪研究所,食品,商品試験,　　　　　〃　　　　　　品質検査,課税(5%),,,,9000,450,9450,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20130513,20130513,,,,池田響,大阪研究所,食品,商品試験,品質検査,課税(5%),,,,9000,450,9450,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20130305,20130305,,,,池田響,大阪研究所,食品,商品試験,適正包装検査,課税(5%),,,,10000,500,10500,
,,,アクアレール,,アクアレール,,,,,その他,一般外部,20130305,20130305,,,,池田響,大阪研究所,食品,商品試験,品質検査,課税(5%),,,,27000,1350,28350,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20120629,20120629,,,,堀古ひろみ,大阪研究所,繊維,商品試験,ゴム　　　　　　　　　伸縮疲労性試験,課税(5%),,,,2000,100,2100,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20121217,20121217,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　シャルレ向け寸法変化率試験,課税(5%),,,,2100,105,2205,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20130108,20130108,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　シャルレ向け寸法変化率試験,課税(5%),,,,2100,105,2205,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20130125,20130125,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　シャルレ向け寸法変化率試験,課税(5%),,,,2100,105,2205,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20130226,20130226,,,,羽倉恵子,大阪研究所,繊維,商品試験,テープ　・シャルレ向け寸法変化率試験,課税(5%),,,,2100,105,2205,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20120410,20120410,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　シャルレ向遊離ホルムアルデヒドの溶出量,課税(5%),,,,3000,150,3150,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20121002,20121002,,,,松本盛太郎,大阪研究所,繊維,商品試験,テープ　　・混用率試験,課税(5%),,,,4000,200,4200,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20130510,20130510,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　シャルレ向け伸縮疲労性,課税(5%),,,,4000,200,4200,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20120329,20120329,,,,堀古ひろみ,大阪研究所,繊維,商品試験,テープ　　　　物性試験,課税(5%),,,,4200,210,4410,
,,,アゴック株式会社,,アゴック株式会社,,,,,その他,一般外部,20120426,20120426,,,,羽倉恵子,大阪研究所,繊維,商品試験,テープ　シャルレ様向け伸縮疲労性試験,課税(5%),,,,4500,225,4725,
