得意先名称,ふりがな,呼称,担当者名,役職コード,部署名,郵便番号１,郵便番号２,住所,建物名,電話番号１,電話番号２,電話番号３,締日,納品書発行区分,得意先区分,入金種別,めも
東洋紡ｽﾍﾟｼｬﾙﾃｨｽﾞﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,とうようぼうすぺしゃるてぃずとれーでぃんぐ,東洋紡ｽﾍﾟｼｬﾙﾃｨｽﾞﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,,,,,,,,,,,,0,1,1,
東京靴下株式会社,とうきょうくつした,東京靴下株式会社,,,,,,,,,,,,0,1,1,
トレインコーポレーション,とれいんこーぽれーしょん,トレインコーポレーション,,,,,,,,,,,,0,1,1,
東レ・オペロンテックス株式会社,とうれおぺろんてっくす,東レ・オペロンテックス株式会社,,,,,,,,,,,,0,1,1,
浪速製紐株式会社,なにわせいちゅう,浪速製紐株式会社,,,,,,,,,,,,0,1,1,
株式会社南都衛材製作所,なんとえいざいせいさくしょ,株式会社南都衛材製作所,,,,,,,,,,,,0,1,1,
永島服飾株式会社,ながしまふくしょく,永島服飾株式会社,,,,,,,,,,,,0,1,1,
日邦樹脂工業株式会社,にっぽうじゅしこうぎょう,日邦樹脂工業株式会社,,,,,,,,,,,,0,1,1,
日本サニパック株式会社,にほんさにぱっく,日本サニパック株式会社,,,,,,,,,,,,0,1,1,
日本ニット株式会社,にほんにっと,日本ニット株式会社,,,,,,,,,,,,0,1,1,
特定非営利活動法人日本皮革技術協会,にほんひかくぎじゅつきょうかい,特定非営利活動法人日本皮革技術協会,,,,,,,,,,,,0,1,1,
株式会社ニトリ,にとり,株式会社ニトリ,,,,,,,,,,,,0,1,1,
日本テレビ放送網株式会社,にほんてれびほうそう,日本テレビ放送網株式会社,,,,,,,,,,,,0,1,1,
株式会社ニューロンドン,にゅーろんどん,株式会社ニューロンドン,,,,,,,,,,,,0,1,1,
株式会社日本育児,にほんいくじ,株式会社日本育児,,,,,,,,,,,,0,1,1,
株式会社ニッセン,にっせん,株式会社ニッセン,,,,,,,,,,,,0,1,1,
株式会社日テレ７,にってれせぶん,株式会社日テレ７,,,,,,,,,,,,0,1,1,
株式会社ノルコーポレーション,のるこーぽれーしょん,株式会社ノルコーポレーション,,,,,,,,,,,,0,1,1,
有限会社芝企画,しばきかく,有限会社芝企画,,,,,,,,,,,,0,1,1,
パナソニック株式会社,ぱなそにっく,パナソニック株式会社,,,,,,,,,,,,0,1,1,
株式会社パイレックス,ぱいれっくす,株式会社パイレックス,,,,,,,,,,,,0,1,1,
原田株式会社,はらだ,原田株式会社,,,,,,,,,,,,0,1,1,
パナソニックサイクルテック株式会社,ぱなそにっくさいくるてっく,パナソニックサイクルテック株式会社,,,,,,,,,,,,0,1,1,
株式会社バーニーズジャパン,ばーにーずじゃぱん,株式会社バーニーズジャパン,,,,,,,,,,,,0,1,1,
株式会社バンガード,ばんがーど,株式会社バンガード,,,,,,,,,,,,0,1,1,
株式会社ヒロオカ,ひろおか,株式会社ヒロオカ,,,,,,,,,,,,0,1,1,
福助株式会社,ふくすけ,福助株式会社,,,,,,,,,,,,0,1,1,
有限会社フロス,ふろす,有限会社フロス,,,,,,,,,,,,0,1,1,
フェラガモジャパン株式会社,ふぇらがもじゃぱん,フェラガモジャパン株式会社,,,,,,,,,,,,0,1,1,
株式会社藤丸,ふじまる,株式会社藤丸,,,,,,,,,,,,0,1,1,
株式会社フィット,ふぃっと,株式会社フィット,,,,,,,,,,,,0,1,1,
北海道ロングリバー株式会社,ほっかいどうろんぐりばー,北海道ロングリバー株式会社,,,,,,,,,,,,0,1,1,
株式会社丸井,まるい,株式会社丸井,,,,,,,,,,,,0,1,1,
株式会社丸辰,まるたつ,株式会社丸辰,,,,,,,,,,,,0,1,1,
株式会社マ・メール,まめーる,株式会社マ・メール,,,,,,,,,,,,0,1,1,
株式会社マッシュスタイルラボ,まっしゅすたいるらぼ,株式会社マッシュスタイルラボ,,,,,,,,,,,,0,1,1,
三星商事株式会社,みつぼししょうじ,三星商事株式会社,,,,,,,,,,,,0,1,1,
株式会社ミューファン,みゅーふぁん,株式会社ミューファン,,,,,,,,,,,,0,1,1,
株式会社文殊,もんじゅ,株式会社文殊,,,,,,,,,,,,0,1,1,
モリト株式会社,もりと,モリト株式会社,,,,,,,,,,,,0,1,1,
モリ販売株式会社,もりはんばい,モリ販売株式会社,,,,,,,,,,,,0,1,1,
株式会社モノクローム,ものくろーむ,株式会社モノクローム,,,,,,,,,,,,0,1,1,
株式会社大和,やまと,株式会社大和,,,,,,,,,,,,0,1,1,
株式会社山春,やまはる,株式会社山春,,,,,,,,,,,,0,1,1,
株式会社山豊,やまとよ,株式会社山豊,,,,,,,,,,,,0,1,1,
焼津のおたべやきつ家,やいづのおたべやきつや,焼津のおたべやきつ家,,,,,,,,,,,,0,1,1,
株式会社ユタックス,ゆたっくす,株式会社ユタックス,,,,,,,,,,,,0,1,1,
株式会社ユニオン野木,ゆにおんのぎ,株式会社ユニオン野木,,,,,,,,,,,,0,1,1,
ユニチカトレーディング株式会社,ゆにちかとれーでぃんぐ,ユニチカトレーディング株式会社,,,,,,,,,,,,0,1,1,
株式会社ラピーヌ,らぴーぬ,株式会社ラピーヌ,,,,,,,,,,,,0,1,1,
株式会社ラボキ・ファクトリー,らぼきふぁくとりー,株式会社ラボキ・ファクトリー,,,,,,,,,,,,0,1,1,
株式会社ライトアップショッピングクラブ,らいとあっぷしょっぴんぐくらぶ,株式会社ライトアップショッピングクラブ,,,,,,,,,,,,0,1,1,
株式会社力匠,りきしょう,株式会社力匠,,,,,,,,,,,,0,1,1,
有限会社緑桃,りょくとう,有限会社緑桃,,,,,,,,,,,,0,1,1,
株式会社ルシアン,るしあん,株式会社ルシアン,,,,,,,,,,,,0,1,1,
レイナ株式会社,れいな,レイナ株式会社,,,,,,,,,,,,0,1,1,
レッツトレーディング株式会社,れっつとれーでぃんぐ,レッツトレーディング株式会社,,,,,,,,,,,,0,1,1,
株式会社ロイネ,ろいね,株式会社ロイネ,,,,,,,,,,,,0,1,1,
株式会社ワールド,わーるど,株式会社ワールド,,,,,,,,,,,,0,1,1,
株式会社ワイ・ヨット,わいよっと,株式会社ワイ・ヨット,,,,,,,,,,,,0,1,1,
株式会社高知大丸,こうちだいまる,株式会社高知大丸,,,,,,,,,,,,0,1,1,
株式会社鳥取大丸,とっとりだいまる,株式会社鳥取大丸,,,,,,,,,,,,0,1,1,
株式会社下関大丸,しものせきだいまる,株式会社下関大丸,,,,,,,,,,,,0,1,1,
株式会社博多大丸,はかただいまる,株式会社博多大丸,,,,,,,,,,,,0,1,1,
株式会社ピーコックストア,ぴーこっくすとあ,株式会社ピーコックストア,,,,,,,,,,,,0,1,1,
大丸興業株式会社,だいまるこうぎょう,大丸興業株式会社,,,,,,,,,,,,0,1,1,
株式会社Ｊ．フロントフーズ,じぇいふろんとふーず,株式会社Ｊ．フロントフーズ,,,,,,,,,,,,0,1,1,
株式会社ディンプル,でぃんぷる,株式会社ディンプル,,,,,,,,,,,,0,1,1,
株式会社ディンプル福岡営業所,でぃんぷるふくおかえいぎょうしょ,株式会社ディンプル福岡営業所,,,,,,,,,,,,0,1,1,
株式会社ジョブ・システム,じょぶ・しすてむ,株式会社ジョブ・システム,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店,だいまるまつざかやひゃっかてん,株式会社大丸松坂屋百貨店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸心斎橋店,だいまるまつざかやひゃっかてんだいまるしんさいばしてん,株式会社大丸松坂屋百貨店大丸心斎橋店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸東京店,だいまるまつざかやひゃっかてんだいまるとうきょうてん,株式会社大丸松坂屋百貨店大丸東京店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸京都店,だいまるまつざかやひゃっかてんだいまるきょうとてん,株式会社大丸松坂屋百貨店大丸京都店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸山科店,だいまるまつざかやひゃっかてんだいまるやましなてん,株式会社大丸松坂屋百貨店大丸山科店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸神戸店,だいまるまつざかやひゃっかてんだいまるこうべてん,株式会社大丸松坂屋百貨店大丸神戸店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸梅田店,だいまるまつざかやひゃっかてん,株式会社大丸松坂屋百貨店大丸梅田店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸芦屋店,だいまるまつざかやひゃっかてんだいまるあしやてん,株式会社大丸松坂屋百貨店大丸芦屋店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸須磨店,だいまるまつざかやひゃっかてんだいまるすまてん,株式会社大丸松坂屋百貨店大丸須磨店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店浦和パルコ店,だいまるまつざかやひゃっかてんうらわぱるこてん,株式会社大丸松坂屋百貨店浦和パルコ店,,,,,,,,,,,,0,1,1,
株式会社大丸松坂屋百貨店大丸札幌店,だいまるまつざかやひゃっかてんだいまるさっぽろてん,株式会社大丸松坂屋百貨店大丸札幌店,,,,,,,,,,,,0,1,1,
株式会社ＪＦＲオンライン,じぇいえふあーるおんらいん,株式会社ＪＦＲオンライン,,,,,,,,,,,,0,1,1,
株式会社味吉兆,あじきっちょう,株式会社味吉兆,,,,,,,,,,,,0,1,1,
株式会社アニバーサリー,あにばーさりー,株式会社アニバーサリー,,,,,,,,,,,,0,1,1,
株式会社アンデルセン,あんでるせん,株式会社アンデルセン,,,,,,,,,,,,0,1,1,
株式会社アーパ･アンド･イデア,あーぱあんどいであ,株式会社アーパ･アンド･イデア,,,,,,,,,,,,0,1,1,
アイビー株式会社,あいびー,アイビー株式会社,,,,,,,,,,,,0,1,1,
味の浜藤株式会社,あじのはまとう,味の浜藤株式会社,,,,,,,,,,,,0,1,1,
味商株式会社,あじしょう,味商株式会社,,,,,,,,,,,,0,1,1,
株式会社茨木屋,いばらきや,株式会社茨木屋,,,,,,,,,,,,0,1,1,
株式会社今井,いまい,株式会社今井,,,,,,,,,,,,0,1,1,
株式会社イノダコーヒ,いのだこーひ,株式会社イノダコーヒ,,,,,,,,,,,,0,1,1,
伊藤ハムフードソリューション株式会社,いとうはむふーどそりゅーしょん,伊藤ハムフードソリューション株式会社,,,,,,,,,,,,0,1,1,
イズミフード株式会社,いずみふーど,イズミフード株式会社,,,,,,,,,,,,0,1,1,
有限会社イグレックプリュス,いぐれっくぷりゅるす,有限会社イグレックプリュス,,,,,,,,,,,,0,1,1,
有限会社井津美屋,いづみや,有限会社井津美屋,,,,,,,,,,,,0,1,1,
株式会社一乃松,いちのまつ,株式会社一乃松,,,,,,,,,,,,0,1,1,
株式会社インストアメディア社,いんすとあめでぃあしゃ,株式会社インストアメディア社,,,,,,,,,,,,0,1,1,
イサン株式会社,いさん,イサン株式会社,,,,,,,,,,,,0,1,1,
株式会社ウインクスジャパン,うぃんくすじゃぱん,株式会社ウインクスジャパン,,,,,,,,,,,,0,1,1,
有限会社梅の花Ｐｌｕｓ,うめのはなぷらす,有限会社梅の花Ｐｌｕｓ,,,,,,,,,,,,0,1,1,
株式会社エースコーポレーション,えーすこーぽれーしょん,株式会社エースコーポレーション,,,,,,,,,,,,0,1,1,
株式会社永源寺こんにゃく,えいげんじこんにゃく,株式会社永源寺こんにゃく,,,,,,,,,,,,0,1,1,
株式会社永楽屋,えいらくや,株式会社永楽屋,,,,,,,,,,,,0,1,1,
株式会社大島水産,おおしますいさん,株式会社大島水産,,,,,,,,,,,,0,1,1,
株式会社オールドリバー,おーるどりばー,株式会社オールドリバー,,,,,,,,,,,,0,1,1,
有限会社おととや美濃,おととやみのう,有限会社おととや美濃,,,,,,,,,,,,0,1,1,
株式会社おむらはうす,おむらはうす,株式会社おむらはうす,,,,,,,,,,,,0,1,1,
尾家産業株式会社,おいえさんぎょう,尾家産業株式会社,,,,,,,,,,,,0,1,1,
株式会社大井肉店,おおいにくてん,株式会社大井肉店,,,,,,,,,,,,0,1,1,
株式会社開花亭,かいかてい,株式会社開花亭,,,,,,,,,,,,0,1,1,
株式会社柿安本店,かきやすほんてん,株式会社柿安本店,,,,,,,,,,,,0,1,1,
株式会社川池,かわいけ,株式会社川池,,,,,,,,,,,,0,1,1,
株式会社風の街,かぜのまち,株式会社風の街,,,,,,,,,,,,0,1,1,
株式会社かなたに,かなたに,株式会社かなたに,,,,,,,,,,,,0,1,1,
株式会社ＫＡＢＵＲＡＩ,かぶらい,株式会社ＫＡＢＵＲＡＩ,,,,,,,,,,,,0,1,1,
協和商事株式会社,きょうわしょうじ,協和商事株式会社,,,,,,,,,,,,0,1,1,
京都中央物産株式会社,きょうとちゅうおうぶっさん,京都中央物産株式会社,,,,,,,,,,,,0,1,1,
株式会社京都吉兆,きょうときっちょう,株式会社京都吉兆,,,,,,,,,,,,0,1,1,
株式会社京樽,きょうたる,株式会社京樽,,,,,,,,,,,,0,1,1,
株式会社京はやしや,きょうはやしや,株式会社京はやしや,,,,,,,,,,,,0,1,1,
株式会社キャピタル,きゃぴたる,株式会社キャピタル,,,,,,,,,,,,0,1,1,
株式会社餃子計画,ぎょうざけいかく,株式会社餃子計画,,,,,,,,,,,,0,1,1,
株式会社銀装,ぎんそう,株式会社銀装,,,,,,,,,,,,0,1,1,
株式会社串乃家,くしのや,株式会社串乃家,,,,,,,,,,,,0,1,1,
百済,くだら,百済,,,,,,,,,,,,0,1,1,
くちば物産株式会社,くちばぶっさん,くちば物産株式会社,,,,,,,,,,,,0,1,1,
株式会社グルメワールド,ぐるめわーるど,株式会社グルメワールド,,,,,,,,,,,,0,1,1,
有限会社くろげ,くろげ,有限会社くろげ,,,,,,,,,,,,0,1,1,
絢爛亭,けんらんてい,絢爛亭,,,,,,,,,,,,0,1,1,
株式会社ケー・エキスプレス,けーえきすぷれす,株式会社ケー・エキスプレス,,,,,,,,,,,,0,1,1,
株式会社京阪百貨店,けいはんひゃっかてん,株式会社京阪百貨店,,,,,,,,,,,,0,1,1,
有限会社コーイチ,こーいち,有限会社コーイチ,,,,,,,,,,,,0,1,1,
株式会社小鯛雀鮨鮨萬,こだいすずめすしまん,株式会社小鯛雀鮨鮨萬,,,,,,,,,,,,0,1,1,
株式会社神戸吉兆,こうべきっちょう,株式会社神戸吉兆,,,,,,,,,,,,0,1,1,
有限会社神戸ふたみ堂,こうべふたみどう,有限会社神戸ふたみ堂,,,,,,,,,,,,0,1,1,
株式会社三久食品,さんきゅうしょくひん,株式会社三久食品,,,,,,,,,,,,0,1,1,
サン食品工業株式会社,さんしょくひんこうぎょう,サン食品工業株式会社,,,,,,,,,,,,0,1,1,
株式会社三田屋本店,か)さんだやほんてん,株式会社三田屋本店,,,,,,,,,,,,0,1,1,
株式会社サザエ食品,さざえしょくひん,株式会社サザエ食品,,,,,,,,,,,,0,1,1,
山和食品株式会社,さんわしょくひん,山和食品株式会社,,,,,,,,,,,,0,1,1,
株式会社サンリバー,さんりばー,株式会社サンリバー,,,,,,,,,,,,0,1,1,
有限会社斉藤音弥商店,さいとうおとやしょうてん,有限会社斉藤音弥商店,,,,,,,,,,,,0,1,1,
白ハト食品工業株式会社,しろはとしょくひんこうぎょう,白ハト食品工業株式会社,,,,,,,,,,,,0,1,1,
株式会社上伊,じょうい,株式会社上伊,,,,,,,,,,,,0,1,1,
シャチフードシステム株式会社,しゃちふーどしすてむ,シャチフードシステム株式会社,,,,,,,,,,,,0,1,1,
株式会社知床鮨,しれとこすし,株式会社知床鮨,,,,,,,,,,,,0,1,1,
株式会社下鴨茶寮,しもがもさりょう,株式会社下鴨茶寮,,,,,,,,,,,,0,1,1,
株式会社下村商店,しもむらしょうてん,株式会社下村商店,,,,,,,,,,,,0,1,1,
株式会社ジェーシー・コムサ,じぇーしーこむさ,株式会社ジェーシー・コムサ,,,,,,,,,,,,0,1,1,
株式会社ジャンボリア,じゃんぼりあ,株式会社ジャンボリア,,,,,,,,,,,,0,1,1,
有限会社ショウタニ,しょうたに,有限会社ショウタニ,,,,,,,,,,,,0,1,1,
ＪＡ全農たまご株式会社,じぇいえーぜんのうたまご,ＪＡ全農たまご株式会社,,,,,,,,,,,,0,1,1,
スエヒロ商事株式会社,すえひろしょうじ,スエヒロ商事株式会社,,,,,,,,,,,,0,1,1,
株式会社すし善,すしぜん,株式会社すし善,,,,,,,,,,,,0,1,1,
杉本食肉産業株式会社,すぎもとしょくにくさんぎょう,杉本食肉産業株式会社,,,,,,,,,,,,0,1,1,
株式会社鈴波,すずなみ,株式会社鈴波,,,,,,,,,,,,0,1,1,
ｽﾀｰﾊﾞｯｸｽｺｰﾋｰｼﾞｬﾊﾟﾝ株式会社,すたーばっくすこーひーじゃぱん,ｽﾀｰﾊﾞｯｸｽｺｰﾋｰｼﾞｬﾊﾟﾝ株式会社,,,,,,,,,,,,0,1,1,
株式会社住吉屋,すみよしや,株式会社住吉屋,,,,,,,,,,,,0,1,1,
株式会社仙太郎,せんたろう,株式会社仙太郎,,,,,,,,,,,,0,1,1,
有限会社瀬間商店,せましょうてん,有限会社瀬間商店,,,,,,,,,,,,0,1,1,
セイウ株式会社,せいう,セイウ株式会社,,,,,,,,,,,,0,1,1,
株式会社千味,せんみ,株式会社千味,,,,,,,,,,,,0,1,1,
株式会社大水直売,だいすいちょくばい,株式会社大水直売,,,,,,,,,,,,0,1,1,
株式会社大安,だいやす,株式会社大安,,,,,,,,,,,,0,1,1,
株式会社ダイニングクリエイツ,だいにんぐくりえいつ,株式会社ダイニングクリエイツ,,,,,,,,,,,,0,1,1,
高山堂,たかやまどう,高山堂,,,,,,,,,,,,0,1,1,
立花エンターテインメント・ワン株式会社,たちばなえんたーてぃめんと・わん,立花エンターテインメント・ワン株式会社,,,,,,,,,,,,0,1,1,
竹中食品株式会社,たけなかしょくひん,竹中食品株式会社,,,,,,,,,,,,0,1,1,
株式会社築地フレッシュ丸都,つきじふれっしゅまると,株式会社築地フレッシュ丸都,,,,,,,,,,,,0,1,1,
寺崎食品産業株式会社,てらさきしょくひんさんぎょう,寺崎食品産業株式会社,,,,,,,,,,,,0,1,1,
株式会社点天,てんてん,株式会社点天,,,,,,,,,,,,0,1,1,
有限会社天むす・すえひろ,てんむすすえひろ,有限会社天むす・すえひろ,,,,,,,,,,,,0,1,1,
株式会社デリッツエジャパン,でりっつえじゃぱん,株式会社デリッツエジャパン,,,,,,,,,,,,0,1,1,
株式会社ディーンアンドデルーカジャパン,でぃーんあんどでるーかじゃぱん,株式会社ディーンアンドデルーカジャパン,,,,,,,,,,,,0,1,1,
株式会社ＴＳＴリティリング,てぃーえすてぃーりてぃりんぐ,株式会社ＴＳＴリティリング,,,,,,,,,,,,0,1,1,
株式会社富惣,とみそう,株式会社富惣,,,,,,,,,,,,0,1,1,
株式会社堂島スウィーツ,どうじますうぃーつ,株式会社堂島スウィーツ,,,,,,,,,,,,0,1,1,
